zipcode,lat,lng,recovery_count,id
10001,40.7521,-74.0016,114,36061
10002,40.7158,-73.9865,223,36061
10003,40.7319,-73.9889,48,36061
10004,40.7037,-74.013,6,36061
10005,40.6889,-74.019,18,36061
10006,40.709,-74.0133,9,36061
10007,40.7131,-74.0105,25,36061
10009,40.7264,-73.9785,69,36061
10010,40.7389,-73.9823,34,36061
10011,40.7427,-74.0013,94,36061
10012,40.7257,-73.9979,8,36061
10013,40.7203,-74.0051,48,36061
10014,40.734,-74.0064,45,36061
10016,40.7451,-73.9782,49,36061
10017,40.7525,-73.973,25,36061
10018,40.7554,-73.9931,33,36061
10019,40.7695,-73.9925,80,36061
10020,40.76,-73.9814,2,36061
10021,40.7697,-73.9597,27,36061
10022,40.7574,-73.9676,70,36061
10023,40.7754,-73.9814,41,36061
10024,40.7846,-73.9721,67,36061
10025,40.7978,-73.9662,82,36061
10026,40.8018,-73.9533,111,36061
10027,40.8133,-73.9581,317,36061
10028,40.7766,-73.9537,26,36061
10029,40.7919,-73.9454,343,36061
10030,40.8183,-73.9434,146,36061
10031,40.8255,-73.9503,198,36061
10032,40.838,-73.9413,125,36061
10033,40.8507,-73.9372,105,36061
10034,40.8672,-73.922,104,36061
10035,40.7937,-73.9189,201,36061
10036,40.7594,-73.9904,67,36061
10037,40.8133,-73.9374,96,36061
10038,40.7077,-74.0032,53,36061
10039,40.8264,-73.9375,133,36061
10040,40.859,-73.9303,53,36061
10044,40.7624,-73.9495,3,36061
10045,40.7085,-74.0088,1,36061
10065,40.7653,-73.9647,21,36061
10069,40.7775,-73.9893,3,36061
10075,40.774,-73.9576,15,36061
10111,40.7592,-73.9784,1,36061
10112,40.7591,-73.9795,2,36061
10116,40.6687,-73.9768,1,36061
10118,40.7483,-73.9846,1,36061
10119,40.7512,-73.9923,5,36061
10128,40.7822,-73.9514,29,36061
10162,40.7525,-73.9792,1,36061
10165,40.7524,-73.9785,2,36061
10168,40.7515,-73.9765,1,36061
10171,40.7561,-73.9745,3,36061
10199,40.7518,-73.9962,11,36061
10278,40.715,-74.004,4,36061
10280,40.7086,-74.0173,1,36061
10282,40.7159,-74.0154,1,36061
10301,40.6275,-74.0953,150,36085
10302,40.6311,-74.1377,60,36085
10303,40.6317,-74.1731,166,36085
10304,40.5978,-74.097,132,36085
10305,40.596,-74.0751,89,36085
10306,40.5673,-74.122,102,36085
10307,40.5078,-74.2418,46,36085
10308,40.5529,-74.1505,63,36085
10309,40.5322,-74.2188,81,36085
10310,40.6325,-74.1163,69,36085
10311,40.6054,-74.1782,3,36085
10312,40.5469,-74.1817,116,36085
10314,40.6002,-74.1598,128,36085
10451,40.8209,-73.9241,422,36005
10452,40.838,-73.9233,320,36005
10453,40.8527,-73.9134,333,36005
10454,40.8058,-73.9168,296,36005
10455,40.8141,-73.9071,202,36005
10456,40.8304,-73.9082,456,36005
